flowID,timeID,typeCode,freqCode,refPeriodId,year,refMonth,period,reporterCode,reporterISO3,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,mfnRate,tau_mean
USA_NZL_85_X_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,X,Export,554.0,NZL,New Zealand,0.0,W00,World,H6,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,,293986844.0,293986844.0,4.0,False,True,1.3979054054054054,-0.8346182201421621
USA_NZL_88_M_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,M,Import,554.0,NZL,New Zealand,0.0,W00,World,H6,HS,True,88,"Aircraft, spacecraft, and parts thereof",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,13579439.0,13412718.0,13579439.0,4.0,False,True,0.11538461538461539,-0.57105962
USA_NZL_88_X_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,X,Export,554.0,NZL,New Zealand,0.0,W00,World,H6,HS,True,88,"Aircraft, spacecraft, and parts thereof",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,,1386856094.0,1386856094.0,4.0,False,True,0.11538461538461539,-0.57105962
USA_ZAF_85_M_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,M,Import,710.0,ZAF,South Africa,0.0,W00,World,H6,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,102955696.0,99830342.0,102955696.0,4.0,False,True,1.3979054054054054,-0.8346182201421621
USA_ZAF_85_X_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,X,Export,710.0,ZAF,South Africa,0.0,W00,World,H6,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,,599678821.0,599678821.0,4.0,False,True,1.3979054054054054,-0.8346182201421621
USA_ZAF_88_M_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,M,Import,710.0,ZAF,South Africa,0.0,W00,World,H6,HS,True,88,"Aircraft, spacecraft, and parts thereof",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,21531346.0,21264870.0,21531346.0,4.0,False,True,0.11538461538461539,-0.57105962
USA_ZAF_88_X_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,X,Export,710.0,ZAF,South Africa,0.0,W00,World,H6,HS,True,88,"Aircraft, spacecraft, and parts thereof",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,,369898787.0,369898787.0,4.0,False,True,0.11538461538461539,-0.57105962
USA_MYS_85_M_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,M,Import,458.0,MYS,Malaysia,0.0,W00,World,H6,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,26325780413.0,25890283904.0,26325780413.0,4.0,False,True,1.3979054054054054,-0.8346182201421621
USA_MYS_85_X_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,X,Export,458.0,MYS,Malaysia,0.0,W00,World,H6,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,,6416932316.0,6416932316.0,4.0,False,True,1.3979054054054054,-0.8346182201421621
USA_MYS_88_M_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,M,Import,458.0,MYS,Malaysia,0.0,W00,World,H6,HS,True,88,"Aircraft, spacecraft, and parts thereof",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,581982952.0,576242974.0,581982952.0,4.0,False,True,0.11538461538461539,-0.57105962
USA_MYS_88_X_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,X,Export,458.0,MYS,Malaysia,0.0,W00,World,H6,HS,True,88,"Aircraft, spacecraft, and parts thereof",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,,1869016338.0,1869016338.0,4.0,False,True,0.11538461538461539,-0.57105962
USA_THA_85_M_2023,time_2023,C,A,20230101.0,2023,52.0,2023,842.0,USA,USA,M,Import,764.0,THA,Thailand,0.0,W00,World,H6,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2.0,False,C00,TOTAL CPC,0,0.0,TOTAL MOT,-1.0,,0.0,False,-1.0,,0.0,False,0.0,True,0.0,False,20762987895.0,20355455397.0,20762987895.0,4.0,False,True,1.3979054054054054,-0.8346182201421621
